Title,Link,Runtime (minutes),Genres,Years,Src,About
The Life and Times of Grizzly Adams,https://www.imdb.com/title/tt0075525/,60,"Adventure, Family, Western",1977-1978,"https://m.media-amazon.com/images/M/MV5BNDc4MzdjNTUtNTc2MC00NmU4LWFkZTItYjgzMGQ1NTVhMTJmXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UY209_CR4,0,140,209_AL_.jpg",An innocent fugitive from the law lives in the wilderness with a grizzly bear companion and helps passers-by in the forest. 
The World of Peter Rabbit and Friends,https://www.imdb.com/title/tt0296886/,24,,1992-1998,"https://m.media-amazon.com/images/M/MV5BZjU4NGZlOGQtNzhiMy00ZmE4LWFkM2EtMDI1MjI0OGU1YTRkXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX140_CR0,0,140,209_AL_.jpg","An animated series, telling the story of many beloved Beatrix Potter characters. "
Belle et Sébastien,https://www.imdb.com/title/tt0166900/,26,"Adventure, Drama, Family",1965,"https://m.media-amazon.com/images/M/MV5BMTMzOTc1MjY1Nl5BMl5BanBnXkFtZTcwNzc5OTEwMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Mountain-based adventures of a young boy and his dog in a small village in the southern Alps. 
The Flumps,https://www.imdb.com/title/tt0241101/,,"Animation, Family",1976,"https://m.media-amazon.com/images/M/MV5BZDQ5NjE1MDYtMjg2OS00NWMyLTk0MjktMDNkZWRmZjAzNTllXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_UY209_CR70,0,140,209_AL_.jpg","The adventures of a family of cute, furry creatures - The Flumps. Grandpa Flump, Ma and Pa Flump, their eldest son Perkin, daughter Posie and youngest son Pootle. Each episode contains fun songs and a story from the 'Big Book'. "
Button Moon,https://www.imdb.com/title/tt0227882/,11,Family,1980-1988,"https://m.media-amazon.com/images/M/MV5BODE3NDIxNDQtZjZhYy00YjMzLWIyNDktYjNmZTg2MjBlZTFmXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg",Mr Spoon and his family live on Junk Planet. He travels in his baked bean tin spaceship across blanket sky to Button Moon. There he meets many strange characters and watches stories unfold on other planets using his telescope. 
The Magic Roundabout,https://www.imdb.com/title/tt0144059/,5,"Animation, Adventure, Comedy",1964-1995,"https://m.media-amazon.com/images/M/MV5BYzZhZGNhOTgtOGE5Ny00ZTY5LWIxOTktMjgxNTdhMDZjY2EyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR9,0,140,209_AL_.jpg",Cult classic children's animated series about a group of human and animal characters that gather at the roundabout / carousel in the park. Although the original series is French there are multiple dubbed versions from other countries. 
The Magic Ball,https://www.imdb.com/title/tt0819954/,10,"Animation, Family",1971-1972,"https://m.media-amazon.com/images/M/MV5BZGU1NDZmMmUtMzY0Ny00ODJjLWJkMzMtMjkwY2I3ODhkNzU1XkEyXkFqcGdeQXVyNDc4NzAwMzQ@._V1_UY209_CR116,0,140,209_AL_.jpg","The Magic Ball was yet another children's TV program from the early 1970's. It was all about "" well a ball that was MAGIC "" !! "
Mr Benn,https://www.imdb.com/title/tt0065322/,15,"Animation, Short, Family",1971-2005,"https://m.media-amazon.com/images/M/MV5BMTczNjgxNTAyM15BMl5BanBnXkFtZTcwMzQ0MjAyMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg","Mr Benn enters a magical costume shop where he travels to places dictated by his costume, and solves problems . The shopkeeper aids Mr Benn escape to the dressing room at moments of peril. Quantum Leap without Gooshie. "
Rainbow,https://www.imdb.com/title/tt0275148/,22,"Animation, Family, Talk-Show",1972-1992,"https://m.media-amazon.com/images/M/MV5BZmZiNjE1NDEtMGE3MC00ZmM4LTgzNTMtMGVlZDZiMzI1Y2NkXkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR15,0,140,209_AL_.jpg",Children's puppet programme featuring music and stories. 
Jamie and the Magic Torch,https://www.imdb.com/title/tt0433298/,10,"Animation, Family, Fantasy",1976-1979,"https://m.media-amazon.com/images/M/MV5BMTUxNjAxN2QtMDg1ZC00NDExLTg0YjUtNDc1OWJmYzkzOTQ1XkEyXkFqcGdeQXVyNjAwNjYyNzQ@._V1_UY209_CR8,0,140,209_AL_.jpg","When Jamie shines his Magic Torch on the floor of his bedroom a hole appears, leading Jamie and Wordsworth the sheepdog to the psychedelic fantasy world of Cuckooland. "
Trumpton,https://www.imdb.com/title/tt0061306/,15,"Animation, Family",1967,"https://m.media-amazon.com/images/M/MV5BMTcwNjAwMTMyOF5BMl5BanBnXkFtZTcwNzUzOTQyMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg","A sequel, of sorts, to Camberwick Green but set in the larger, nearby town of Trumpton. Each episode opens with the town hall clock and ends with the fire brigade band playing. Every show tells the story of one of the townsfolk. "
Camberwick Green,https://www.imdb.com/title/tt0059972/,15,"Animation, Family",1966,"https://m.media-amazon.com/images/M/MV5BMjA0OTEyNjA5OF5BMl5BanBnXkFtZTcwNTE4NzYxMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg","Iconic British children's animated series set in the fictional, picturesque village of the title. Each episode opens with a character emerging from a music box and they will be the central character of the forthcoming story. "
Mr. Men,https://www.imdb.com/title/tt0426754/,7,"Animation, Short, Family",1974-1983,"https://m.media-amazon.com/images/M/MV5BMTAxODYyMzE2MjJeQTJeQWpwZ15BbWU3MDQ0NzU2MTE@._V1_UY209_CR2,0,140,209_AL_.jpg","The Mr Men are a whole host of brightly colored characters that live in Misterland. All of them have names like Mr Happy, Mr Clumsy and Mr Greedy and their appearance and personality match their name. Narrated by Arthur Lowe. "
Little Miss,https://www.imdb.com/title/tt0299341/,8,Animation,1983,"https://m.media-amazon.com/images/M/MV5BMTgxODUwMzI2Ml5BMl5BanBnXkFtZTcwMzY5ODQyMQ@@._V1_UY209_CR5,0,140,209_AL_.jpg",The adventures of the Little Miss characters created by Roger Hargreaves as female counterparts to the original Mr Men. The personality and appearance of each character matches their name such as Little Miss Chatterbox. 
The Munch Bunch,https://www.imdb.com/title/tt0824059/,,Family,1980-,"https://m.media-amazon.com/images/M/MV5BODAyNzIxMTYtOGY5OC00MWM0LWIyZjktYzhkNDUxNzcxZGRmXkEyXkFqcGdeQXVyMjYzNDgwNzk@._V1_UX140_CR0,0,140,209_AL_.jpg",String-puppet series featuring the adventures of fruit and vegetable characters who escape from a greengrocer's shop and start a new home in a country garden. 
The Shoe People,https://www.imdb.com/title/tt0862624/,5,"Animation, Family",1987-,"https://m.media-amazon.com/images/M/MV5BMTg0NTIxNTE5OF5BMl5BanBnXkFtZTgwNTA5NzkwMzE@._V1_UY209_CR69,0,140,209_AL_.jpg",This series follows the magical adventures of The Shoe People who live in their own magical land called Shoe Town. 
Pigeon Street,https://www.imdb.com/title/tt0281477/,15,"Animation, Family",1981,"https://m.media-amazon.com/images/M/MV5BNTk5ZjViYmYtODYyZi00MmM5LWE1MGMtNzgzZDgxZTM3MTNiXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR1,0,140,209_AL_.jpg",Much loved British animated series telling the stories of a recurring cast of characters such as a trucker called Long Distance Clara and Mr Baskerville the Detective who all live on Pigeon Street in an unnamed British city. 
Chorlton and the Wheelies,https://www.imdb.com/title/tt0313048/,12,"Animation, Family",1976-,"https://m.media-amazon.com/images/M/MV5BMjM1Mjg5ODgzNV5BMl5BanBnXkFtZTcwNzEzNTgxMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","A wonderfully eccentric series about Chorlton, a happy-go-lucky dragon (named after a suburb of Manchester) who unintentionally foils the evil schemes of a mad Welsh 'Kettle Witch' who tries to stop wheelie people having fun. "
Blue Peter,https://www.imdb.com/title/tt0051257/,25,Family,1958-,"https://m.media-amazon.com/images/M/MV5BNTZlYjIzYTgtZmNmOS00OGZhLWFiODMtODc2ODJhMTkyOWMwXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg","British children's-magazine program which has run since the end of the 1950s, aimed at 6-to-14-year-olds. The show has different segments where the presenters would show the viewers how to ... See full summary » "
He-Man and the Masters of the Universe,https://www.imdb.com/title/tt0126158/,30,,1983-1985,"https://m.media-amazon.com/images/M/MV5BODgyYzRhNzAtMTJlNC00OTM0LWI3M2ItNzZjYzYxZmJiOWIyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY209_CR1,0,140,209_AL_.jpg","The most powerful man in the universe, He-Man, goes against the evil forces of Skeletor to save the planet Eternia and to protect the secrets of Castle Grayskull. "
The Charlie Brown and Snoopy Show,https://www.imdb.com/title/tt0084996/,23,,1983-1985,"https://m.media-amazon.com/images/M/MV5BZmFiYjM0YTAtOWI3Ny00NTRmLThjMWYtODM3YTliMGVkM2U1XkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UY209_CR34,0,140,209_AL_.jpg","Every Saturday morning The Peanuts Gang does skits, mostly taken from newspaper strips. "
Play School,https://www.imdb.com/title/tt0191719/,,,1972-,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,The New Zealand version of the classic British childen's programme. 
